#word	valence	arousal	dominance	w
depressed	1.83	4.72	2.74	0
depression	1.85	4.54	2.91	0
derelict	4.28	4.1	4.78	0
deserter	2.45	5.5	3.77	0
desire	7.69	7.35	6.49	0
despairing	2.43	5.68	3.43	0
despise	2.03	6.28	4.72	0
destroy	2.64	6.83	4.94	0
destruction	3.16	5.82	3.93	0
detached	3.86	4.26	3.63	0
detail	5.55	4.1	5.21	0
detest	2.17	6.06	5.83	0
devil	2.21	6.07	5.35	0
devoted	7.41	5.23	6.18	0
diamond	7.92	5.53	5.54	0
dignified	7.1	4.12	6.12	0
dinner	7.16	5.43	6.1	0
diploma	8	5.67	6.76	0
dirt	4.17	3.76	4.83	0
dirty	3.08	4.88	4.7	0
disappoint	2.39	4.92	3.29	0
disaster	1.73	6.33	3.52	0
discomfort	2.19	4.17	3.86	0
discouraged	3	4.53	3.61	0
disdainful	3.68	5.04	4.55	0
disgusted	2.45	5.42	4.34	0
disloyal	1.93	6.56	3.79	0
displeased	2.79	5.64	4.19	0
distressed	1.94	6.4	3.76	0
disturb	3.66	5.8	4.55	0
diver	6.45	5.04	5.04	0
divorce	2.22	6.33	3.26	0
doctor	5.2	5.86	4.89	0
dog	7.57	5.76	6.25	0
doll	6.09	4.24	4.61	0
dollar	7.47	6.07	6.33	0
door	5.13	3.8	4.69	0
dove	6.9	3.79	5.48	0
fall	4.09	4.7	4	0
FALSE	3.27	3.43	4.1	0
fame	7.93	6.55	6.85	0
family	7.65	4.8	6	0
famous	6.98	5.73	6.32	0
fantasy	7.41	5.14	6.43	0
farm	5.53	3.9	5.59	0
fascinate	7.34	5.83	6.15	0
fat	2.28	4.81	4.47	0
father	7.08	5.92	5.63	0
fatigued	3.28	2.64	3.78	0
fault	3.43	4.07	4.02	0
favor	6.46	4.54	5.67	0
fear	2.76	6.96	3.22	0
fearful	2.25	6.33	3.64	0
feeble	3.26	4.1	2.71	0
festive	7.3	6.58	5.77	0
fever	2.76	4.29	3.52	0
field	6.2	4.08	5.84	0
fight	3.76	7.15	5.27	0
filth	2.47	5.12	3.81	0
finger	5.29	3.78	5.05	0
fire	3.22	7.17	4.49	0
fireworks	7.55	6.67	5.51	0
fish	6.04	4	6.02	0
flabby	2.66	4.82	3.31	0
flag	6.02	4.6	5.5	0
flirt	7.52	6.91	6.24	0
flood	3.19	6	3.24	0
flower	6.64	4	4.98	0
foam	6.07	5.26	5.24	0
food	7.65	5.92	6.18	0
foot	5.02	3.27	4.98	0
fork	5.29	3.96	5.74	0
foul	2.81	4.93	4.51	0
fragrance	6.07	4.79	5.14	0
fraud	2.67	5.75	3.58	0
free	8.26	5.15	6.35	0
freedom	7.58	5.52	6.76	0
friend	7.74	5.74	6.74	0
friendly	8.43	5.11	5.92	0
frigid	3.5	4.75	4.27	0
frog	5.71	4.54	5.34	0
frustrated	2.48	5.61	3.5	0
fun	8.37	7.22	6.8	0
funeral	1.39	4.94	2.97	0
fungus	3.06	4.68	4.06	0
fur	4.51	4.18	4.32	0
game	6.98	5.89	5.7	0
gangrene	2.28	5.7	3.36	0
garbage	2.98	5.04	4.24	0
garden	6.71	4.39	6.02	0
garment	6.07	4.49	5.3	0
garter	6.22	5.47	5.82	0
gender	5.73	4.38	5.6	0
gentle	7.31	3.21	5.1	0
germs	2.86	4.49	3.79	0
gift	7.77	6.14	5.52	0
girl	6.87	4.29	5.8	0
glacier	5.5	4.24	4.92	0
glamour	6.76	4.68	5.76	0
glass	4.75	4.27	5	0
gloom	1.88	3.83	3.55	0
glory	7.55	6.02	6.85	0
god	8.15	5.95	5.88	0
gold	7.54	5.76	5.85	0
golfer	5.61	3.73	5.55	0
good	7.47	5.43	6.41	0
gossip	3.48	5.74	3.57	0
graduate	8.19	7.25	6.94	0
grass	6.12	4.14	5.44	0
grateful	7.37	4.58	6.18	0
greed	3.51	4.71	4.88	0
green	6.18	4.28	4.82	0
greet	7	5.27	5.95	0
grenade	3.6	5.7	4.29	0
grief	1.69	4.78	3.5	0
grime	3.37	3.98	4.47	0
grin	7.4	5.27	6	0
gripe	3.14	5	4.67	0
guillotine	2.48	6.56	4.64	0
guilty	2.63	6.04	3.09	0
gun	3.47	7.02	3.53	0
