#Term	pleasantness	attention	sensitivity	aptitude	polarity
disrespect	0	0	0.761	-0.726	-0.496
disrobe	-0.044	0	-0.055	0	-0.033
dissection	-0.05	0	-0.115	0	-0.055
dissertation	0	0	-0.074	0	-0.025
distance	-0.705	0	0	-0.878	-0.528
distance measurement	0.023	0.083	0.095	0.15	0.054
distant	-0.023	0.138	0.016	0.237	0.112
distaste	-0.127	0.193	0.593	-0.627	-0.385
distasteful	-0.089	0.158	0.659	-0.656	-0.415
distastefully	-0.089	0.158	0.659	-0.656	-0.415
distinction	0.026	0.152	-0.093	0.164	0.083
distinctive smell	0	-0.072	0.092	-0.056	-0.025
distinguish	0.051	0.34	-0.204	0.357	0.181
distract	-0.044	-0.169	0.041	-0.296	-0.071
distraction	0	-0.3	0	0	0.1
distress	-0.611	0.262	-0.386	-0.223	-0.319
distressed	-0.636	0.349	-0.309	-0.139	-0.245
distressful	-0.482	0.41	-0.196	-0.187	-0.152
distressfully	-0.482	0.41	-0.196	-0.187	-0.152
distressing	-0.482	0.41	-0.196	-0.187	-0.152
distressingly	-0.482	0.41	-0.196	-0.187	-0.152
distribute	-0.051	0.224	-0.194	0.335	0.105
distribute information	0	-0.038	0.053	-0.084	-0.033
distrust	-0.408	0	-0.431	-0.061	-0.3
disturb	-0.111	-0.083	0.058	-0.179	-0.088
disturbed	-0.482	0.41	-0.196	-0.187	-0.152
disturbing	-0.482	0.41	-0.196	-0.187	-0.152
diuretic	0.045	0	-0.052	-0.08	-0.029
diverse	0.057	0	0	0.153	0.07
diversion	0.097	-0.173	0.072	-0.079	0.04
diversity	0.159	0.125	-0.164	0.298	0.139
divide	-0.024	0.114	0	0.204	0.098
divide country	-0.117	0	0	0	-0.039
divide nation	-0.4	-0.121	0.062	-0.193	-0.178
divide person	0	0	0	0.095	0.032
divide property	0	-0.015	0	0.07	0.028
dividend	0	0.287	-0.056	0	0.077
divine	0.128	0.152	-0.091	0.264	0.151
division	0	0	0.107	0	-0.036
divorce	-0.744	0	0	-0.72	-0.488
divorce money	0	0.369	-0.163	0.226	0.144
dizziness	-0.113	-0.101	0.153	-0.234	-0.133
dizzy	0	0	-0.739	-0.792	-0.51
do anything	0	0.769	0	0	0.256
do it yourself	-0.028	0.103	0.069	0.151	0.052
doctor	-0.045	0	-0.163	-0.123	-0.11
doctor's office	0	0	-0.138	-0.134	-0.091
doctor appointment	-0.102	0	-0.145	-0.151	-0.133
doctor examination room	0	0	-0.136	-0.182	-0.106
doctor office	-0.028	0	-0.151	-0.148	-0.109
doctor patient	-0.068	0.131	-0.171	0	-0.036
doctor surgery	-0.154	0.074	-0.256	-0.088	-0.141
doctor tool	-0.089	0	-0.056	0	-0.048
doctor visit	0	0.751	-0.967	0	-0.072
doctor work	-0.094	0	-0.132	-0.082	-0.103
document	0	0.077	0	0.068	0.048
documentary	0	0.762	0	0	0.254
documentation	-0.078	0.142	0	0.095	0.053
doe	0	0.171	-0.227	0.238	0.061
dog bark	-0.135	-0.116	0.046	-0.184	-0.083
dog bite	0	0	-0.808	-0.833	-0.547
dog chase	-0.051	-0.108	0.072	-0.109	-0.041
dog die	-0.79	0	-0.912	0	-0.567
dog fur	0	0	0.073	0	-0.024
dog hair	-0.032	-0.003	0.087	-0.057	-0.058
dog howl	-0.366	-0.046	-0.415	-0.11	-0.282
dog like	0.033	0.076	0	0.066	0.058
dog pet	0.902	0.772	0	0	0.558
dog toy	0	0	0	0.072	0.024
dog treat	0	0	0	0.072	0.024
dog wag tail	0.16	-0.049	-0.08	0	0.043
doghouse	-0.024	0	-0.067	-0.037	-0.043
doleful	-0.855	0.207	-0.561	0	-0.403
dolefully	-0.844	0.22	-0.549	0	-0.391
dolefulness	-0.755	0.286	-0.449	-0.053	-0.324
doll	0	-0.087	0	0	0.029
dollar	0	0.192	0.019	0.058	0.077
dollar bill	-0.029	0.22	0.012	0	0.06
dollar cent	0	0.27	0.014	0.133	0.13
dollar change	0	0.207	0.063	0.131	0.092
dollar sign	0	0.264	0.009	0.144	0.133
dolor	-0.902	0.147	-0.625	0.064	-0.439
dolorous	-0.71	0.312	-0.4	-0.08	-0.293
dolt	-0.791	0	0	-0.953	-0.581
domain	0	0.079	0	0.124	0.068
dome	0	0.077	0.039	0.154	0.064
dome arch	0.048	0.18	-0.049	0.169	0.116
domestic dwell	0.037	0.106	0	0.14	0.094
domesticate	0.053	0.094	0	0.136	0.094
domicile	0	0.078	-0.063	0.096	0.037
dominate	0	0	0.764	-0.777	-0.514
domination	0.069	0.155	-0.103	0.059	0.06
donate	0.809	0	0	0.704	0.504
donation	0	0.264	-0.244	0.34	0.12
done	-0.042	0.202	-0.086	0.211	0.095
done person	0.23	-0.07	0.068	-0.029	0.068
donut	0.051	-0.106	0	0	0.052
donut shop	0	0	0	-0.077	-0.026
door	0	0	0	0.077	0.026
door handle	0	-0.012	0	0.072	0.028
door knob	0	0	0	0.096	0.032
door opener	0	0	0	0.109	0.036
doorbell	0	0	0	0.208	0.069
dork	-0.032	-0.098	0.112	-0.157	-0.068
dot	0.044	0	0.029	0.064	0.026
double money	0.807	0	0	0	0.269
doubt	-0.337	0.111	-0.321	0	-0.182
dough	0.033	0	0.013	0.064	0.028
doughnut	0.027	-0.081	0	0	0.036
down	-0.749	0.241	-0.427	0	-0.312
down drain	0	0	0.016	-0.09	-0.035
down in the mouth	-0.784	0.266	-0.45	-0.052	-0.34
downcast	-0.784	0.266	-0.45	-0.052	-0.34
downhearted	-0.784	0.266	-0.45	-0.052	-0.34
downheartedness	-0.752	0.288	-0.434	-0.058	-0.319
downhill ski	0	-0.074	0	0	0.025
downtrodden	-0.834	0.214	-0.391	-0.108	-0.373
downward	-0.091	0.087	0	0.086	0.027
dowry	0.029	0.23	-0.105	0.196	0.117
doze	0.051	0.074	-0.05	0.084	0.053
doze off	0	-0.108	0.06	-0.255	-0.069
dozen	0	-0.003	0.063	-0.037	-0.032
drab	0	0	0	-0.729	-0.243
draft	-0.144	0	-0.087	-0.114	-0.115
drag	-0.028	0.194	-0.116	0.332	0.127
drag race	0	-0.361	-0.174	0.125	0.104
dragon	-0.042	-0.071	0	-0.146	-0.039
drain	-0.025	0	0	-0.062	-0.029
drape	0	0.073	0	0.079	0.051
draw	0	0	0	0.084	0.028
draw blood	-0.121	-0.003	0	-0.142	-0.087
draw blueprint	-0.034	0.196	0	0.139	0.1
draw diagram	0	0.983	0	0	0.328
drawer	0	-0.07	0.073	-0.084	-0.029
drawn	-0.036	0.086	0	0.19	0.08
dread	0	0	-0.799	-0.795	-0.531
dreaded	-0.45	0.39	-0.168	-0.185	-0.138
dreadful	0	0	-0.869	0	-0.29
dreadfully	-0.477	0.373	-0.177	-0.184	-0.155
dream	0	0.091	-0.068	0.058	0.027
dream dream	0.921	0.713	0	0	0.545
dreaminess	0.636	0.638	-0.249	0.305	0.443
dreamy	0.509	0.65	-0.251	0.255	0.388
drear	-0.798	0.257	-0.471	-0.036	-0.349
dreary	0	-0.895	0	0	0.298
dress appropriately	-0.032	-0.056	0.099	-0.059	-0.045
dress doll	-0.139	0	0	-0.084	-0.074
dress occasion	-0.041	-0.039	0.05	-0.064	-0.039
dress oneself	-0.117	0	0	-0.043	-0.053
dress room	0	-0.043	0.022	-0.126	-0.035
dress success	0	0.093	0	0.07	0.054
dribble	-0.052	-0.021	0	-0.077	-0.036
drill	0	-0.081	0.059	-0.112	-0.03
drill hole	-0.069	0	0	0	-0.023
drink blood	-0.232	0	-0.144	-0.116	-0.164
drink booze	-0.043	0	-0.097	-0.124	-0.088
drink coffee	-0.061	-0.038	0.013	-0.159	-0.065
drink coke	0.044	-0.093	0.011	-0.198	-0.024
drink container	0	0.071	0	0.128	0.066
drink cup coffee	-0.03	-0.062	0.038	-0.227	-0.078
drink cup tea	-0.044	-0.1	0.098	-0.304	-0.115
drink drive	-0.228	0	-0.15	-0.15	-0.176
drink espresso	-0.114	0	-0.057	0	-0.057
drink glass	-0.081	0	0	0	-0.027
drink holder	0	0	0.013	0.092	0.026
drink juice	-0.081	0	0	-0.045	-0.042
drink lot beer	0	-0.046	0.037	-0.082	-0.024
drink lot water	-0.035	0.086	0	0.076	0.042
drink milk	0	0	-0.08	0	-0.027
drink much alcohol	0.037	-0.072	0	-0.188	-0.026
drink much beer	-0.063	0	0	-0.035	-0.033
drink place	0.181	0	0.049	0	0.044
drink poison	0	0	-0.721	-0.946	-0.556
drink sea water	0	0	0	-0.764	-0.255
drink soda	-0.098	-0.118	0.036	-0.257	-0.091
drink tea	-0.069	0	0	-0.042	-0.037
drink water	-0.035	-0.034	0.031	-0.054	-0.029
drinkable	0.937	0	0	0	0.312
drip	-0.106	-0.003	0	0	-0.034
drive-in movie	-0.032	-0.012	-0.11	-0.031	-0.054
drive around	-0.038	0	0	-0.038	-0.025
drive crazy	-0.087	-0.018	0	-0.077	-0.049
drive destination	0	0.86	0	0	0.287
drive highway	-0.084	0.092	-0.073	0.15	0.028
drive home	0	0.169	-0.066	0.077	0.06
drive recklessly	0	0	-0.807	-0.882	-0.563
drive store	-0.033	0	0.042	0	-0.025
drive theater	-0.068	0	0	-0.051	-0.04
drive train	0.046	0.087	0	0.153	0.095
drive upon	0	-0.008	0	0.088	0.032
drive vehicle	0.026	-0.036	0	0.091	0.051
driven	-0.072	0.109	0	0.095	0.044
driven person	0	0.072	0.045	0.125	0.051
drool	-0.037	-0.037	-0.059	-0.145	-0.068
drop	-0.029	-0.072	0.065	-0.054	-0.025
drop airplane	-0.074	-0.063	0	-0.181	-0.064
drop ball	-0.132	-0.079	0.031	-0.145	-0.076
drop blood	-0.053	0	-0.153	-0.122	-0.109
drop bomb	-0.062	-0.029	0.034	-0.115	-0.061
drop down	-0.085	0	0	0	-0.028
drop food	-0.075	-0.011	-0.061	-0.138	-0.088
drop off	-0.026	0.141	-0.093	0.22	0.081
dropper	-0.06	-0.006	0	-0.051	-0.035
drought	-0.985	0	-0.796	0	-0.594
drown	-0.045	-0.09	0	-0.151	-0.035
drowsiness	0.062	-0.147	0.069	-0.292	-0.051
drudgery	-0.302	0.089	-0.106	-0.032	-0.117
drug	0	0	0.868	-0.89	-0.586
drug addict	0	0	0.821	-0.954	-0.592
drug addiction	-0.093	-0.067	-0.102	-0.176	-0.101
drug use	-0.074	-0.171	-0.086	0.061	0.024
druggy	-0.029	-0.01	-0.055	-0.037	-0.037
drugstore	-0.03	0.112	-0.074	0.062	0.023
drunk	0	0	-0.933	-0.748	-0.56
drunk drive	-0.027	-0.068	-0.049	-0.133	-0.047
drunk person	0.141	-0.064	0	-0.03	0.058
drunkard	0.137	-0.014	0	-0.042	0.036
drunkenness	0	0	0.827	-0.885	-0.571
dry	0	-0.048	0	0.053	0.034
dry clean	0.022	0	-0.044	0.113	0.03
dry cleaner	0	0.081	0	0.134	0.072
dry clothes	-0.069	0	0	0	-0.023
dry fruit	0.176	0	0.064	0	0.037
dry hair	-0.083	0	-0.05	0	-0.044
dry mouth	-0.079	-0.051	0.095	-0.181	-0.101
dry off	0	0.078	0	0.065	0.048
dry oneself	0	0.123	0	0.116	0.08
dry oneself off	-0.063	0.073	0	0.074	0.028
dry paint	-0.052	0	0.019	0	-0.024
dry skin	0.048	-0.006	0.011	0.064	0.036
dry towel	0.151	0	0	0.055	0.069
dry wet clothes	-0.089	0	-0.115	-0.109	-0.104
dry wet hair	-0.068	0	-0.059	0	-0.042
dryad	-0.023	-0.012	0.045	-0.051	-0.036
duchess	0.057	0.096	0	0.104	0.086
dude	0.042	0.103	-0.102	0.066	0.036
dudgeon	-0.127	0.13	0.647	-0.647	-0.43
due	-0.028	0.288	-0.136	0.107	0.077
duel	0	-0.01	-0.082	-0.162	-0.078
dugout	0	0.12	0.013	0	0.036
duh	0	0.1	0	0.117	0.072
duke	0.033	0.088	-0.061	0.068	0.043
dull	0	0	0.781	-0.891	-0.557
dullness	0	0	0.919	-0.746	-0.555
dumb	0	0	0	0.069	0.023
dumbfound	0.044	-0.661	0	0.361	0.355
dumbfounded	0.044	-0.661	0	0.361	0.355
dumbstruck	0.044	-0.661	0	0.361	0.355
dumfounded	0.044	-0.661	0	0.361	0.355
dummy	0	-0.087	0	0	0.029
dump	0	0	0	-0.082	-0.027
dumpster dive	-0.055	0.157	0	0.168	0.09
dun	-0.132	0.071	0.694	-0.674	-0.476
dunk	0	0	0.079	0	-0.026
duplex	0	0.106	0	0	0.035
durable	-0.023	0.078	0	0.08	0.045
dust mite	0	-0.018	0.067	-0.066	-0.038
dustbin	0.036	-0.042	0.025	-0.122	-0.023
duty	0	0.224	-0.159	0.137	0.067
dwarf	0.041	0.118	-0.085	0.1	0.058
dwell place	0	0.096	-0.053	0.131	0.058
dynamic	0	0.144	-0.091	0.196	0.083
dynamite	0	-0.045	0	-0.138	-0.031
dynamite explosion	0	-0.032	-0.057	-0.121	-0.049
dynasty	0	0.084	-0.063	0.061	0.027
dysphoria	-0.803	0.247	-0.44	-0.066	-0.354
dysphoric	-0.692	0.32	-0.351	-0.118	-0.28
each one	0	0.23	0	0.232	0.154
eagerly	0.532	0.657	-0.257	0.268	0.4
eagerness	0.532	0.657	-0.257	0.268	0.4
eagle	0	0.105	0	0	0.035
ear activity	0.022	0.098	0	0.202	0.107
ear ring	0.288	-0.11	0.052	-0.153	0.064
ear work	0.043	0.107	0	0.183	0.111
earache	0	0	-0.745	-0.715	-0.487
earl	0.044	0.111	0	0.102	0.086
earn	0	0.893	0	0	0.298
earn degree	0	-0.008	0	-0.111	-0.034
earn income	-0.039	0.307	-0.106	0.181	0.114
earn money	0.832	0	0	0	0.277
earn paycheck	-0.077	0	0	-0.065	-0.047
earn respect	0.788	0.716	0	0.884	0.796
earnest	0	0	0	0.994	0.331
earnestly	0.059	0.617	-0.313	0.139	0.167
earnestness	0.059	0.617	-0.313	0.139	0.167
earnings	0.939	0.789	0	0.755	0.828
earplug	0	-0.108	0.039	0	0.023
earth day	0.091	-0.042	-0.142	0.11	0.034
earth movement	0.091	0	-0.115	0.188	0.055
earthquake	-0.941	-0.913	-0.971	-0.813	-0.604
ease	0.984	0	0	0	0.328
ease pain	0.857	0	0	0	0.286
easily	0.943	0	0	0	0.314
easiness	0.615	0.643	-0.247	0.29	0.434
east	0	0.157	0	0.094	0.084
eastern brown snake	-0.028	-0.008	-0.052	-0.08	-0.051
easy	0.806	0	0	0	0.269
easy break	0	0	0	0.131	0.044
easy tear	0.025	0	0.09	0.174	0.036
easy use	0.093	-0.042	0.031	0.153	0.086
eat action	0.048	0.093	0.014	0.18	0.102
eat animal	-0.099	0	-0.08	-0.035	-0.071
eat bad food	0	0	-0.746	-0.954	-0.567
eat banana	-0.099	0	-0.052	0	-0.05
eat bean	0.867	0	0	0	0.289
eat better	0.896	0	0	0.809	0.568
eat breakfast	-0.044	0	-0.048	0	-0.031
eat breakfast bed	-0.026	0	-0.062	0	-0.029
eat cake	0.95	0	0	0	0.317
eat candy	0.898	0	0	0	0.299
eat cat food	0	0	0	-0.744	-0.248
eat cereal	0.837	0	0	0	0.279
eat cheese	-0.052	0.072	0.012	0.066	0.025
eat chicken	0.744	0	0	0	0.248
eat chip	0.867	0	0	0	0.289
eat chocolate	0.7	0	0	0	0.233
eat dessert	0.786	0	0	0	0.262
eat dinner	0.026	0.069	0	0	0.032
eat dog	0.971	0	0	0	0.324
eat drink	0.901	0	0	0	0.3
eat egg	-0.098	-0.02	0	-0.083	-0.054
eat establishment	0.143	0	0.013	0	0.043
eat excessively	-0.027	0.096	0	0	0.023
eat food off plate	0.863	0	0	0	0.288
eat french fry	-0.079	-0.035	0	-0.18	-0.075
eat fruit	0.738	0	0	0	0.246
eat healthy diet	0.722	0	0	0	0.241
eat hot dog	0.804	0	0	0	0.268
eat insect	-0.03	0	0.112	-0.037	-0.06
eat liquid	0.08	0.068	0	0.077	0.075
eat live	-0.064	0.111	-0.133	-0.029	-0.038
eat meat	0	0	-0.068	0	-0.023
eat muffin	0.761	0	0	0	0.254
eat off	0	-0.009	0.079	0	-0.023
eat orange	0.025	0	-0.07	-0.062	-0.036
eat outdoors	0	-0.139	0.058	0.059	0.047
eat pasta	-0.097	0	-0.052	0	-0.05
eat peach	-0.079	0	-0.08	0	-0.053
eat peanut	-0.04	0	-0.054	-0.095	-0.063
eat peanut butter	0.129	0.092	0	0.167	0.129
eat pie	0.81	0	0	0	0.27
eat pizza	0.964	0	0	0	0.321
eat poison	0	0	-0.973	0	-0.324
eat popcorn	0.744	0	0	0	0.248
eat potato	0.96	0	0	0	0.32
eat potato chip	-0.035	-0.051	0.086	-0.168	-0.079
eat properly	0	0.073	0	0	0.024
eat pudding	0.823	0	0	0	0.274
eat pussy	0.983	0	0	0	0.328
eat rat	0	0	0	-0.873	-0.291
eat raw fish	0.991	0	0	0	0.33
eat right	0.996	0	0	0	0.332
eat salad	0.853	0	0	0	0.284
eat sandwich	-0.048	0	0	-0.052	-0.033
eat shit	0	0	0	-0.786	-0.262
eat snack	0.831	0	0	0	0.277
eat something	0.867	0	0	0	0.289
eat spaghetti	-0.084	0.08	-0.065	0	-0.023
eat sushi	0.935	0	0	0	0.312
eat sweet	0.867	0	0	0	0.289
eat table	-0.056	0	0	-0.046	-0.034
eat tasty food	0.053	0.145	-0.112	0.124	0.07
eat together	0.793	0	0	0	0.264
eat well	0.991	0	0	0	0.33
eat worm	0	0	-0.818	-0.716	-0.511
eatable	0.052	0	0.038	0.095	0.036
eaten raw	0.054	0.066	0.021	0.128	0.076
eaten shark	-0.358	-0.172	0.024	-0.377	-0.196
ebb	0	0	-0.063	0.172	0.036
ebulliently	0.512	0.658	-0.254	0.256	0.391
echo	0.03	0	-0.062	0.238	0.069
eclectic	0.032	0.092	0	0.075	0.066
economic activity	0	0.226	-0.098	0.26	0.129
economics	0	0.219	0	0.208	0.142
economy	0.067	0.172	0	0.121	0.12
ecstasy	1	0	0	0	0.333
ecstatic	0.504	0.156	-0.176	0.193	0.226
eden	0	0.085	0	0.146	0.077
edginess	-0.472	0.41	-0.196	-0.178	-0.145
edgy	-0.472	0.41	-0.196	-0.179	-0.146
edible	0.046	0	0.041	0.102	0.036
edible human	0.04	0.065	0.049	0.126	0.061
edible plant	0	0.083	0.039	0.074	0.039
edict	0.028	0.177	0	0.167	0.124
edifice	0.026	0.219	0	0.16	0.135
edition	0	0.155	-0.185	0.227	0.066
educate	0.971	0.735	0	0	0.569
educate guess	-0.072	0.189	-0.076	0.171	0.071
educate oneself	0.743	0	0	0.717	0.487
educate others	0.936	0	0	0.96	0.632
education	-0.036	-0.122	0.075	-0.263	-0.084
educational facility	0	-0.015	0.043	-0.046	-0.025
educational place	0	-0.024	0.053	-0.057	-0.029
efficiency	0.7	0	0	0.979	0.56
efficient	0.024	0.089	0.042	0.066	0.046
effort	-0.109	0.196	-0.102	0.162	0.049
egalitarian society	0	0	0	0.744	0.248
egalitarianism	0.025	0.287	0	0.237	0.183
egg shell	0	-0.022	0.01	-0.137	-0.042
ego boost	0.102	0	0	0	0.034
egotism	0	0	0	-0.957	-0.319
eight legs	-0.05	-0.029	0.062	-0.094	-0.059
eight sides	0	0.171	-0.074	0.284	0.127
ejaculation	0.05	0.089	-0.051	0	0.029
elaborate	-0.067	0.108	-0.086	0.233	0.063
elan	0.559	0.656	-0.261	0.285	0.413
elasticity	-0.055	0.112	0	0.189	0.082
elate	0.643	0.64	-0.24	0.3	0.448
elated	0.628	0.642	-0.239	0.291	0.441
elating	0.643	0.64	-0.24	0.3	0.448
elation	0.933	0.883	0	0.87	0.895
elbow grease	-0.113	0.165	-0.046	0.113	0.04
elder	0	0	0	0.79	0.263
elderly	0	0	0	0.7	0.233
elderly person	0	0.067	-0.177	-0.092	-0.067
elect	0	0.75	0	0	0.25
elect office	0.02	0.105	0	0.064	0.063
elect official	0.025	0.127	-0.054	0.076	0.058
elect person	0	0.257	-0.091	0.193	0.12
elect president	0.053	0.365	-0.206	0.29	0.167
election	0	0.156	-0.153	0.179	0.061
electric	0	-0.056	-0.227	0.268	0.032
electric bill	-0.071	-0.037	-0.112	0	-0.049
electric car	0.086	0	0	0.13	0.072
electric current	-0.092	-0.255	-0.232	0.153	0.028
electric guitar	0	0	0.048	-0.035	-0.028
electric power	0	0.12	-0.13	0.199	0.063
electric razor	0	-0.067	0.048	-0.174	-0.052
electrical	0	0.067	-0.205	0.264	0.042
electrical circuit	0.06	0	0	0.059	0.04
electrical connection	0.037	-0.082	-0.087	0.146	0.059
electrical unit	0	-0.014	-0.122	0.223	0.038
electricity	0.057	0.088	-0.225	0.148	0.023
electrifying	0.083	0.567	-0.346	0.188	0.164
electrocution	0.106	-0.281	-0.131	0	0.085
electromagnetic wave	0.023	0	0	0.119	0.047
electron	0	0	0	0.101	0.034
elegant	0.927	0	0	0	0.309
elementary particle	0	0	0	0.122	0.041
elements	0.03	0	0.021	0.065	0.025
elephant sit chest	-0.044	0	-0.066	-0.063	-0.058
elevate	0	0.773	0	0	0.258
elevation	0.039	0.152	0	0.157	0.116
elevator	0.064	0.07	0	0	0.045
ell	-0.027	0.163	-0.1	0.138	0.058
elm	0.034	0	0	0.067	0.034
elongate	-0.036	0.152	0	0.23	0.115
elongation	-0.034	0.169	-0.071	0.218	0.094
elsewhere	0.031	0.149	0	0.137	0.106
elusive	0.273	0.226	-0.139	0.332	0.231
emac	0	0	0	0.091	0.03
email	0	0.179	0	0.283	0.154
email program	-0.056	0.16	-0.045	0.276	0.112
emancipation	0.02	0.15	-0.153	0.077	0.031
embarrass	-0.769	0	0.923	-0.968	-0.887
embarrassed	-0.502	0.398	-0.226	-0.158	-0.163
embarrassing	-0.521	0.391	-0.243	-0.149	-0.174
embarrassingly	-0.521	0.391	-0.243	-0.149	-0.174
embarrassment	-0.562	0.288	-0.319	-0.242	-0.278
embassy	0.054	0.07	0	0.09	0.071
emblem	0	0.077	0	0.091	0.056
embolden	0.655	0.635	-0.237	0.3	0.451
embrace	0.755	0.972	0	0.775	0.834
embroidery	-0.088	-0.033	0.066	-0.134	-0.085
emergency	0	0	-0.823	0	-0.274
emergency brake	0	-0.057	0	0.05	0.036
emergency room	0	0	-0.73	0	-0.243
emergency ward	-0.027	0.066	-0.15	-0.143	-0.085
emit light	0	-0.028	-0.061	-0.093	-0.042
emote	-0.064	0	-0.174	0.11	-0.043
emotional	-0.026	0	-0.088	-0.064	-0.059
emotional distress	-0.71	0	-0.759	-0.907	-0.792
emotional pain	-0.221	-0.003	-0.216	-0.262	-0.232
emotional reaction	0	-0.064	-0.142	-0.143	-0.074
emotional response	-0.056	0	-0.135	-0.051	-0.081
emotive	0.461	0.674	-0.262	0.247	0.373
empathetic	0.46	0.678	-0.528	0.503	0.371
empathetically	0.504	0.699	-0.534	0.51	0.393
empathic	0.46	0.678	-0.528	0.503	0.371
empathize	0.054	0.226	-0.228	0.202	0.085
empathy	0	0	0	0.877	0.292
emperor	0.054	0.068	0	0.068	0.063
employ	0	0.189	-0.156	0.15	0.061
employee	0.046	0.099	-0.054	0.067	0.053
employer	0.071	0.151	0	0.16	0.127
employment	0.85	0	0	0	0.283
emptiness	-0.914	0	-0.772	-0.757	-0.814
empty	0.029	0.137	0.033	0.207	0.113
empty bladder	-0.035	0	-0.087	0	-0.041
empty place	0	0.086	0.046	0.133	0.058
empty room	0	0.09	0	0.066	0.052
enamor	0.601	0.647	-0.266	0.322	0.435
enamoredness	0.531	0.673	-0.276	0.275	0.401
enchant	0.894	0	0	0.924	0.606
enchanting	0.601	0.647	-0.266	0.322	0.435
enchantment	0.601	0.647	-0.266	0.322	0.435
encompass	0.077	0.219	-0.074	0.293	0.172
encore	0.029	0.081	-0.114	0.089	0.028
encounter	0	0	-0.061	0.14	0.026
encourage	0.768	0	0.785	0.888	0.29
encouraged	0.485	0.672	-0.261	0.255	0.384
encouragement	0.531	0.658	-0.265	0.346	0.423
encouraging	0.485	0.672	-0.261	0.255	0.384
encouragingly	0.485	0.672	-0.261	0.255	0.384
end	-0.055	0.192	-0.113	0.16	0.061
end argument	0.873	0.942	0	0.907	0.907
end book	-0.056	0.084	0	0.062	0.03
end class	-0.097	0	0	0	-0.032
end conversation	0.074	0.187	-0.147	0.195	0.103
end happily	-0.027	0.118	-0.097	0.207	0.067
end life	-0.965	0	-0.9	-0.734	-0.866
end live	-0.731	-0.892	-0.878	0	-0.239
end marriage	-0.472	0.106	-0.324	-0.036	-0.242
end point	0	0.221	-0.048	0.223	0.132
end relationship	-0.794	0	-0.768	-0.977	-0.846
end semester	-0.043	-0.014	-0.047	0	-0.025
end sentence	0	0	0	-0.07	-0.023
end someone's life	-0.255	0	-0.217	-0.164	-0.212
end war	0.852	0	0	0	0.284
end world	-0.961	0	-0.72	-0.849	-0.843
endanger	-0.088	-0.214	0.012	-0.185	-0.024
endearingly	0.494	0.673	-0.269	0.25	0.383
endless	-0.023	0.104	0	0	0.027
endorse	0.8	0.759	0	0.957	0.839
endoscope	0	0	-0.063	-0.096	-0.053
endure	-0.068	-0.007	-0.08	0	-0.047
enema	-0.176	-0.159	-0.082	-0.207	-0.102
enemy	-0.079	0	-0.09	-0.237	-0.135
energetic	0.73	0	0	0	0.243
engage	0.036	0.204	-0.138	0.354	0.152
engagement	0.066	0.07	-0.1	0.224	0.087
engineer	-0.027	0.118	-0.076	0.074	0.03
enigma	-0.052	-0.197	-0.179	0.219	0.062
enjoy	0.905	0.779	0	0.921	0.868
enjoy art	0.973	0.876	0	0	0.616
enjoy challenge	0.2	0	0.045	-0.029	0.042
enjoy company friend	0.734	0.849	0	0	0.528
enjoy day	0.911	0.813	0	0	0.575
enjoy down time	0.175	-0.2	0.161	-0.303	-0.03
enjoy eat	0.163	0	0	-0.046	0.039
enjoy entertainment	0.05	-0.098	0.071	-0.186	-0.036
enjoy film	-0.03	0	-0.046	0	-0.025
enjoy fresh air	0	-0.143	0.117	-0.18	-0.051
enjoy life	0.899	0.726	0	0	0.542
enjoy meal	-0.065	0	0.013	-0.028	-0.035
enjoy moment	0	-0.063	0	-0.254	-0.064
enjoy movie	0.993	0.727	0	0	0.573
enjoy music	0.242	-0.194	0.092	-0.238	0.035
enjoy nature	0	-0.094	0.102	-0.09	-0.033
enjoy oneself	0.21	-0.176	0.094	-0.203	0.03
enjoy person	0.897	0.959	0	0	0.619
enjoy play	0.115	-0.228	0.167	-0.304	-0.043
enjoy sex	0.846	0.976	0	0.766	0.863
enjoy show	0.823	0.812	0	0	0.545
enjoy sport	0.902	0.864	0	0	0.589
enjoy story	0.04	-0.205	0.127	-0.358	-0.08
enjoy view	-0.024	-0.131	0.026	-0.22	-0.046
enjoyable	0.7	0.972	0	0	0.557
enjoyable activity	0.109	-0.066	0.084	0	0.03
enjoyment	0.902	0.995	0	0	0.632
enlarge	0	0.174	-0.082	0.302	0.131
enlightenment	0.85	0.776	0	0.893	0.84
enlist	-0.035	0.197	-0.137	0.158	0.061
enmity	0	0.161	0.7	-0.657	-0.399
enormous	0.023	0	0.038	0.159	0.048
enough eat	0.873	0.772	0	0	0.548
enough food	0.852	0.888	0	0	0.58
enough money	0.719	0.757	0	0	0.492
enough sleep	0.225	0.114	0	0.177	0.172
enraged	-0.137	0.145	0.624	-0.638	-0.418
enragement	-0.125	0.127	0.651	-0.649	-0.433
enroll	-0.052	0	0	-0.052	-0.035
enroll class	-0.099	-0.051	0.02	-0.184	-0.084
enroll school	-0.063	0	0.015	-0.09	-0.056
enslave person	-0.113	0	-0.174	-0.14	-0.142
ensure proper hygiene	0.078	0	0	0.074	0.051
enter	-0.022	0.176	-0.103	0.287	0.113
enter address	-0.071	0	0.053	-0.057	-0.06
enter area	-0.056	0.179	-0.096	0.294	0.107
enter build	-0.073	0.146	-0.078	0.197	0.064
enter classroom	-0.14	0	0	-0.038	-0.059
enter contest	0.141	-0.073	0	-0.06	0.051
